K,n,rmse,rmse.mle
4,4096,0.01708893759751138,0.01703894350584659
4,4096,0.01716513363085359,0.01707362179721495
4,4096,0.01718710353264737,0.01707854507190217
4,4096,0.01730077459010758,0.01722386567768438
4,4096,0.01721967369538972,0.01698735100401808
4,4096,0.01714064639431019,0.01706734422261945
4,4096,0.01730924295108575,0.0171669015152742
4,4096,0.01715102712606601,0.01701687540022486
4,4096,0.01716897032402503,0.0169754043626551
4,4096,0.01710347016591777,0.01698810926353265
4,4096,0.0171695979100559,0.01707142420273164
4,4096,0.01705666756535772,0.01694988087621788
4,4096,0.01710538646772542,0.0170304722860821
4,4096,0.01723160589613433,0.01706656566928196
4,4096,0.01726606385380346,0.01715520783296857
4,4096,0.01721319969782214,0.01707360249566507
4,4096,0.01698778516336262,0.01694882012264141
4,4096,0.01724212866251374,0.01718816494255764
4,4096,0.01739205248022729,0.01734046336699017
4,4096,0.01714126131423962,0.01700217523936474
4,4096,0.01704931245220831,0.01687091756463519
4,4096,0.0171372960409171,0.01698945382385872
4,4096,0.01723369672939959,0.01709179372699544
4,4096,0.01693824270536644,0.01676333460131116
4,4096,0.01704059770485073,0.01693320755812328
4,4096,0.01699947175917653,0.01686995284275021
4,4096,0.01718971880493798,0.01701934979727429
4,4096,0.01728778046433674,0.01718533904642286
4,4096,0.01724318354080426,0.01707817057952314
4,4096,0.01738473461318391,0.01720206360407027
4,4096,0.01698094337198559,0.01682913703342802
4,4096,0.01705755134721186,0.01695376359598642
4,4096,0.01732552362853473,0.01727498999416309
4,4096,0.01721682397315796,0.01714088339319867
4,4096,0.01707286872612632,0.01694496094774732
4,4096,0.01722802037157077,0.01710949461809974
4,4096,0.01708201623694135,0.01690669043963505
4,4096,0.01712286904146972,0.01692867561817677
4,4096,0.01729152427226944,0.01716282058710772
4,4096,0.01714954594765919,0.017102235121484
4,4096,0.01718935721218518,0.0169749683288441
4,4096,0.01708916804670631,0.01705129903296971
4,4096,0.0171414917105724,0.0171219739690534
4,4096,0.01724772371281068,0.01718774503199877
4,4096,0.01723395131689317,0.0171299798306504
4,4096,0.01726328203490043,0.0171786581743309
4,4096,0.01704386413451864,0.01697298815834324
4,4096,0.01680931521994094,0.01676681256903706
4,4096,0.01714046298399737,0.01701041210999785
4,4096,0.01710968481174824,0.0169953723559143
4,2048,0.02473031565619175,0.0244872107545791
4,2048,0.02406130500011229,0.02389177853560952
4,2048,0.02426964670598241,0.02406769599191341
4,2048,0.02419109497826967,0.02416925010676645
4,2048,0.02422604251143677,0.02387016054993661
4,2048,0.02457926885457638,0.02440180621372545
4,2048,0.02428211611584884,0.02390567759970312
4,2048,0.02459858908604471,0.02442685991986537
4,2048,0.02434902510954654,0.02400691296939672
4,2048,0.02397383615483685,0.02400657520482166
4,2048,0.02470451383963871,0.02434330644493526
4,2048,0.02439865639798028,0.02408591153199511
4,2048,0.0244814190927678,0.02401832426119705
4,2048,0.02413015786335069,0.02399054537744178
4,2048,0.02412602869689858,0.02377716286456882
4,2048,0.02434679473746123,0.02421291828697306
4,2048,0.02414137952441942,0.02370458709596607
4,2048,0.02417162403223894,0.02400340097395348
4,2048,0.02421363986419385,0.02406427798604233
4,2048,0.02409658667011984,0.0235178435117916
4,2048,0.02443321428596365,0.02415977857396879
4,2048,0.02469354952847329,0.02442050120425625
4,2048,0.02422777477231612,0.02415706159288658
4,2048,0.02446011740292833,0.02422956346666768
4,2048,0.02423966471017084,0.02381176770532896
4,2048,0.02455750776713061,0.0243631156973594
4,2048,0.02398757364868158,0.02366214019236279
4,2048,0.02412272867407306,0.02395387977831586
4,2048,0.02424682425602661,0.02393596217466638
4,2048,0.02456484802482517,0.02427069325847642
4,2048,0.02461177805534718,0.02433445094837498
4,2048,0.02445797860245701,0.02406754086105787
4,2048,0.02421596634656999,0.02398170330539373
4,2048,0.02426915130122629,0.02409017463627062
4,2048,0.02466527660155684,0.02443371412028082
4,2048,0.02459752722426094,0.02436424881738992
4,2048,0.02416487007369158,0.02383019275978045
4,2048,0.02422292820045925,0.02395593249247154
4,2048,0.02402025728583787,0.02387797416207976
4,2048,0.02438888795657454,0.02420780068227499
4,2048,0.02425443402311326,0.02398090291750224
4,2048,0.0242632484960901,0.02409824114230277
4,2048,0.02423658091988671,0.02417438987609846
4,2048,0.02383091045378451,0.02377562311543129
4,2048,0.02442395285913279,0.02401514483553862
4,2048,0.02411126294715209,0.0238581270998537
4,2048,0.02422324524587249,0.02400907805837881
4,2048,0.02405105999956179,0.02367880068700749
4,2048,0.02387824997468721,0.02365276904993646
4,2048,0.02443478075012647,0.02431043599382774
4,1024,0.03435253324347757,0.03391145114614048
4,1024,0.03425878565671086,0.03371078531369322
4,1024,0.03353768752420378,0.03326294786801882
4,1024,0.03498356334891442,0.03449554884032082
4,1024,0.03416891291531617,0.03364919367757674
4,1024,0.03436487113140665,0.03378452125542106
4,1024,0.03502406298220041,0.0348053979812872
4,1024,0.0350139733270399,0.03432954647296089
4,1024,0.03480964021632007,0.03453677342513299
4,1024,0.03543663428634604,0.03494143113302583
4,1024,0.03530428258966157,0.03416807251876055
4,1024,0.03440302482821455,0.03400867065296339
4,1024,0.03400426768316896,0.03331330483055129
4,1024,0.03437782833026743,0.03374197519974178
4,1024,0.03489893775303848,0.03450968672605865
4,1024,0.03394531524735449,0.03378179241862887
4,1024,0.03483892285481602,0.03420448157062773
4,1024,0.03479795453894482,0.03459294117526274
4,1024,0.03465284363136804,0.03425441066847429
4,1024,0.03431814808568948,0.0337457240793864
4,1024,0.03455473512979298,0.03378553916443914
