K,n,error.osc,error.ssc.ase,error.louvain,error.ssc.A
4,4096,0.001220703125,4.8828125e-4,0.0849609375,0.131591796875
4,4096,2.44140625e-4,0.001953125,0.17822265625,0.001220703125
4,4096,9.765625e-4,7.32421875e-4,0.17724609375,0.001220703125
4,4096,2.44140625e-4,2.44140625e-4,0.176025390625,0.1552734375
4,4096,4.8828125e-4,0.120849609375,0.074462890625,0.128662109375
4,4096,4.8828125e-4,0.002197265625,0.0791015625,0.001953125
4,4096,2.44140625e-4,0.062255859375,0.188720703125,0.12451171875
4,4096,0.001953125,7.32421875e-4,0.177001953125,0.128662109375
4,4096,0,0.002685546875,0.082763671875,0.123291015625
4,4096,0.001953125,0.00146484375,0.184814453125,0.12548828125
4,4096,2.44140625e-4,4.8828125e-4,0.188720703125,9.765625e-4
4,4096,9.765625e-4,0.00146484375,0.1796875,0.115478515625
4,4096,2.44140625e-4,0.001953125,0.08740234375,0.00146484375
4,4096,0.00146484375,0.072998046875,0.076416015625,0.126708984375
4,4096,0.121826171875,0.001708984375,0.184814453125,9.765625e-4
4,4096,0.001953125,0.12060546875,0.179443359375,0.114013671875
4,4096,2.44140625e-4,0.001708984375,0.078857421875,0.118408203125
4,4096,0.002197265625,0.00341796875,0.072265625,0.105224609375
4,4096,4.8828125e-4,2.44140625e-4,0.18017578125,0.12841796875
4,4096,0,7.32421875e-4,0.190673828125,0.12255859375
4,4096,7.32421875e-4,0.12109375,0.177978515625,7.32421875e-4
4,4096,7.32421875e-4,0.001220703125,0.084228515625,0.123779296875
4,4096,0.001708984375,0.1220703125,0.179443359375,0.1279296875
4,4096,2.44140625e-4,0.118896484375,0.18994140625,0.1123046875
4,4096,0.165283203125,0.004150390625,0.172607421875,0.11669921875
4,4096,0.0029296875,4.8828125e-4,0.07470703125,0.116943359375
4,4096,0,4.8828125e-4,0.188720703125,0.123779296875
4,4096,0,0.00244140625,0.08544921875,0.123291015625
4,4096,0,0.001220703125,0.1748046875,0.11279296875
4,4096,0,0.057861328125,0.1875,0.134521484375
4,4096,0.001708984375,7.32421875e-4,0.07763671875,0.118408203125
4,4096,2.44140625e-4,7.32421875e-4,0.1865234375,7.32421875e-4
4,4096,4.8828125e-4,0.108154296875,0.08447265625,0.12109375
4,4096,0.001708984375,7.32421875e-4,0.08154296875,0.001220703125
4,4096,0.117919921875,0,0.1796875,0.11767578125
4,4096,0.001953125,0.05810546875,0.075927734375,0.1669921875
4,4096,4.8828125e-4,0.119384765625,0.19921875,0.156005859375
4,4096,4.8828125e-4,4.8828125e-4,0.078125,0.118408203125
4,4096,0,7.32421875e-4,0.07763671875,7.32421875e-4
4,4096,0,0.001220703125,0.182861328125,7.32421875e-4
4,4096,7.32421875e-4,9.765625e-4,0.179443359375,0.0029296875
4,4096,2.44140625e-4,4.8828125e-4,0.074951171875,0.117431640625
4,4096,7.32421875e-4,0.10400390625,0.18310546875,0.120361328125
4,4096,0.00244140625,0.00146484375,0.179931640625,0.001953125
4,4096,7.32421875e-4,0.1162109375,0.18359375,0.119873046875
4,4096,4.8828125e-4,0.115478515625,0.185791015625,0.001953125
4,4096,0.002685546875,0.003662109375,0.076416015625,0.002197265625
4,4096,0.00146484375,4.8828125e-4,0.084228515625,0.1572265625
4,4096,0.002197265625,0.00146484375,0.17578125,0.11865234375
4,4096,0,0.00341796875,0.183837890625,0.12353515625
4,2048,0.01123046875,0.01123046875,0.19482421875,0.10888671875
4,2048,0.009765625,0.06494140625,0.18212890625,0.11572265625
4,2048,0.00244140625,0.123046875,0.1796875,0.00537109375
4,2048,0.1708984375,0.12841796875,0.18115234375,0.138671875
4,2048,0.0107421875,0.00830078125,0.19287109375,0.13037109375
4,2048,0.01220703125,0.1259765625,0.08203125,0.10693359375
4,2048,0.12255859375,0.017578125,0.18505859375,0.00634765625
4,2048,0.01220703125,0.12353515625,0.18798828125,0.119140625
4,2048,0.00537109375,0.00732421875,0.08056640625,0.12109375
4,2048,0.01513671875,0.00390625,0.07421875,0.00390625
4,2048,0.01123046875,0.0126953125,0.17626953125,0.1220703125
4,2048,0.00732421875,0.0322265625,0.1826171875,0.123046875
4,2048,0.11572265625,0.044921875,0.18212890625,0.12646484375
4,2048,0.1337890625,0.11767578125,0.1005859375,4.8828125e-4
4,2048,0.0107421875,0.0078125,0.1845703125,0.17041015625
4,2048,0.0029296875,0.01025390625,0.076171875,0.13720703125
4,2048,0.0087890625,0.01220703125,0.17529296875,0.12451171875
4,2048,0.01171875,0.01611328125,0.08056640625,0.11376953125
4,2048,0.01806640625,0.0244140625,0.1826171875,0.1328125
4,2048,0.01220703125,0.0234375,0.0771484375,0.1171875
4,2048,0.00927734375,0.009765625,0.0869140625,0.134765625
4,2048,0.12353515625,0.11376953125,0.1875,0.00634765625
4,2048,0.154296875,0.0390625,0.1826171875,0.138671875
4,2048,0.0107421875,0.01806640625,0.185546875,0.00537109375
4,2048,0.1259765625,0.0244140625,0.1943359375,0.00537109375
