K,n,rmse,rmse.mle
4,4096,0.017254123760995638,0.017152873240921376
4,4096,0.016968706878386194,0.016889148125945844
4,4096,0.017176918298065627,0.017015550833888306
4,4096,0.01700362887356909,0.016897403875452837
4,4096,0.017214672617104933,0.017057908346087603
4,4096,0.01726458984152785,0.017080133272545102
4,4096,0.017089907922959287,0.0170081479365897
4,4096,0.017153328383161456,0.01693059867661929
4,4096,0.017032066374357488,0.016965288344981455
4,4096,0.01707688727205937,0.016949637732419302
4,4096,0.017139298550924647,0.01697972082988153
4,4096,0.01705653029699798,0.016939419749652317
4,4096,0.017413305264433566,0.017222299721847082
4,4096,0.01709664641494595,0.016979710848182596
4,4096,0.017202218891530206,0.017008463363892747
4,4096,0.01705309468320689,0.016939594859771877
4,4096,0.017071080107649066,0.017007298138617004
4,4096,0.017148659912776514,0.016960773978620586
4,4096,0.017061224812147925,0.01699017137946619
4,4096,0.017203571632654464,0.01700385069215435
4,4096,0.017006005446730463,0.016803375501222587
4,4096,0.01713067048393518,0.017028395309401912
4,4096,0.017247166928953978,0.017032898164558198
4,4096,0.017091704269828808,0.01691971170613013
4,4096,0.017096668554041298,0.01708359173325625
4,4096,0.017164294122369337,0.017073600827334345
4,4096,0.01728099459288466,0.01714761599310368
4,4096,0.017045588780446257,0.017037301964291297
4,4096,0.016916336384334197,0.016907864572574295
4,4096,0.01713987787158735,0.016991327785195864
4,4096,0.017214942250866887,0.01702681914661851
4,4096,0.017202556205536727,0.01720408226103777
4,4096,0.01722712059635955,0.017078089756487235
4,4096,0.01717193386417325,0.017027887611401057
4,4096,0.01707983214469276,0.01698894485967111
4,4096,0.01721344351663516,0.017149047846240842
4,4096,0.017140807578409755,0.017016952697968973
4,4096,0.017272003712205858,0.017301874892800537
4,4096,0.01713206842221073,0.016959804049568546
4,4096,0.01713622143221423,0.017018730372884455
4,4096,0.017251215255374756,0.017021809485158287
4,4096,0.017335361835979352,0.017254710326202405
4,4096,0.017165233415386498,0.017037023751483228
4,4096,0.017263774109018713,0.017192817930923473
4,4096,0.017012586400694005,0.016936432349036787
4,4096,0.016965861707556436,0.016787301817931467
4,4096,0.017190636109078606,0.017063956670311433
4,4096,0.017208168423453844,0.01710434664027907
4,4096,0.01712770392209326,0.016991984440087433
4,4096,0.017183139437010195,0.01712117609147241
4,2048,0.024037101034969633,0.02385381827202285
4,2048,0.02403312329670071,0.023883389887287117
4,2048,0.025134958812067086,0.024925727815789566
4,2048,0.02450376305976079,0.024033225416164525
4,2048,0.02411740621503832,0.023897309452474057
4,2048,0.024659069435110918,0.02430820248883294
4,2048,0.02425907721079446,0.024170710857948436
4,2048,0.024317597915790686,0.024253695399846304
4,2048,0.024363693235156237,0.024368837820214814
4,2048,0.0241717112830529,0.02398810345004221
4,2048,0.02443783386680473,0.024311748881827935
4,2048,0.024183558359992193,0.02394323249957252
4,2048,0.024454435089903904,0.024282148517416342
4,2048,0.02418619378935078,0.023975945385508114
4,2048,0.024299143043781782,0.024208958435784862
4,2048,0.024363219612619245,0.0243591006311935
4,2048,0.024161886545474267,0.02391544763188722
4,2048,0.024788646318642863,0.02432480987299177
4,2048,0.024161183251052983,0.024009669045202187
4,2048,0.024130277842574516,0.024096729167250076
4,2048,0.02439872067457189,0.02410478204367275
4,2048,0.024281306069510865,0.023972112800647136
4,2048,0.02414740863139412,0.023918742734831987
4,2048,0.024000938708609622,0.024084852202415137
4,2048,0.024322977091420936,0.023973677557009635
4,2048,0.02424591631810421,0.024024753899765647
4,2048,0.024299419409644734,0.02408726829956482
4,2048,0.024361164727290878,0.024088110728865842
4,2048,0.024698985598887058,0.024229240892018517
4,2048,0.024186352472060788,0.024034639508939994
4,2048,0.024366676512300404,0.023990666278002972
4,2048,0.024535578990067315,0.024422437698559087
4,2048,0.024304320649735606,0.024057295534274974
4,2048,0.024535709869733812,0.024218207711730444
4,2048,0.024321618246131462,0.02413530193419476
4,2048,0.024250315729758193,0.023944901017807215
4,2048,0.024525405551955346,0.02445297370232863
4,2048,0.0241957977203576,0.024025109848784493
4,2048,0.024605479922490184,0.024219635114951253
4,2048,0.024116700062949893,0.02412616213821506
4,2048,0.02432415605759848,0.023987349296399556
4,2048,0.024111948742133987,0.02376489743109558
4,2048,0.024267884228275447,0.024068408446498584
4,2048,0.024485757731884,0.024146331402793337
4,2048,0.02467949765855751,0.024346357838089343
4,2048,0.024571769928884327,0.02432898982137276
4,2048,0.02427043808043835,0.02416395155336863
4,2048,0.024289362405619356,0.024233200586057033
4,2048,0.0241196583353226,0.024054065421111395
4,2048,0.02447961650731132,0.02406858912830127
4,1024,0.0344304747421826,0.034454355834679616
4,1024,0.03496898506498262,0.03424775884083826
4,1024,0.03381858794652086,0.03341943997002001
4,1024,0.03412712794011213,0.034091711238237676
4,1024,0.034517809496918635,0.03383829897980069
4,1024,0.035237410554896514,0.034913402305171336
4,1024,0.03486953845663255,0.034526454727326315
4,1024,0.03515158822492878,0.03429910236194596
4,1024,0.035413574712603806,0.03493736336560389
4,1024,0.035309659283475466,0.0347494062149158
4,1024,0.034143462877733774,0.03360035672452264
4,1024,0.03337241060194324,0.033064343447822775
4,1024,0.03422756336307983,0.03398886397425874
4,1024,0.03394544591343324,0.03378531368425747
4,1024,0.03460598994660103,0.03422268579441481
4,1024,0.03433748668400982,0.033713701065867574
4,1024,0.034403429255243353,0.034086798911977634
4,1024,0.03491745422200148,0.03446629879166868
4,1024,0.03440304277569769,0.03385203552367887
4,1024,0.035389323008004375,0.034640257731435926
4,1024,0.034974161726543086,0.03394268563645832
4,1024,0.03527782371241149,0.03501449810606276
4,1024,0.034564129085306865,0.034380137875276995
4,1024,0.03478807616285801,0.03413101650785039
4,1024,0.03490913022367027,0.03393885403553063
4,1024,0.035089623708403454,0.034232253721333435
4,1024,0.03373826886266766,0.033271405254400144
4,1024,0.033988102285664755,0.033551469781929084
4,1024,0.03418935699935537,0.034187259345729616
4,1024,0.03404015280569908,0.033780170517209544
4,1024,0.03381993247905577,0.033327152047345376
4,1024,0.035081555137509185,0.03460241035933146
4,1024,0.03390800494284724,0.033108311918486254
4,1024,0.034465395689651915,0.03395343848739508
4,1024,0.03442705868004948,0.034145701546668315
4,1024,0.034289921178473244,0.03416237819953137
4,1024,0.03522145039417376,0.03460917808185226
4,1024,0.03394528059519336,0.03357347491629082
