homophily,pa.err
1.5,0.11750000000000005
1.5,0.14749999999999996
1.5,0.135
1.5,0.14
1.5,0.12749999999999995
1.5,0.15249999999999997
1.5,0.13249999999999995
1.5,0.13249999999999995
1.5,0.16000000000000003
1.5,0.135
1.5,0.16500000000000004
1.5,0.15249999999999997
1.5,0.15249999999999997
1.5,0.14749999999999996
1.5,0.15000000000000002
1.5,0.135
1.5,0.14249999999999996
1.5,0.13749999999999996
1.5,0.15249999999999997
1.5,0.13749999999999996
1.5,0.13749999999999996
1.5,0.16500000000000004
1.5,0.1725
1.5,0.14749999999999996
1.5,0.14500000000000002
1.5,0.14749999999999996
1.5,0.14249999999999996
1.5,0.13749999999999996
1.5,0.15000000000000002
1.5,0.14749999999999996
1.5,0.17500000000000004
1.5,0.14249999999999996
1.5,0.16000000000000003
1.5,0.16000000000000003
1.5,0.14500000000000002
1.5,0.14
1.5,0.15500000000000003
1.5,0.125
1.5,0.135
1.5,0.15749999999999997
1.5,0.15000000000000002
1.5,0.16249999999999998
1.5,0.14
1.5,0.15500000000000003
1.5,0.13249999999999995
1.5,0.13
1.5,0.12749999999999995
1.5,0.15249999999999997
1.5,0.15500000000000003
1.5,0.14500000000000002
2,0.06499999999999995
2,0.07750000000000001
2,0.0675
2,0.0675
2,0.06999999999999995
2,0.07750000000000001
2,0.07999999999999996
2,0.07750000000000001
2,0.08999999999999997
2,0.07250000000000001
2,0.08499999999999996
2,0.08250000000000002
2,0.07250000000000001
2,0.08499999999999996
2,0.08750000000000002
2,0.06499999999999995
2,0.08250000000000002
2,0.06499999999999995
2,0.08999999999999997
2,0.07750000000000001
2,0.07499999999999996
2,0.09999999999999998
2,0.09250000000000003
2,0.07250000000000001
2,0.07750000000000001
2,0.06499999999999995
2,0.07750000000000001
2,0.06999999999999995
2,0.07750000000000001
2,0.06999999999999995
2,0.10499999999999998
2,0.07999999999999996
2,0.08499999999999996
2,0.08999999999999997
2,0.08499999999999996
2,0.06000000000000005
2,0.08250000000000002
2,0.06999999999999995
2,0.0675
2,0.08999999999999997
2,0.08999999999999997
2,0.09250000000000003
2,0.09250000000000003
2,0.06499999999999995
2,0.07250000000000001
2,0.07250000000000001
2,0.07499999999999996
2,0.07750000000000001
2,0.07750000000000001
2,0.07499999999999996
2.5,0.020000000000000018
2.5,0.04249999999999998
2.5,0.040000000000000036
2.5,0.02749999999999997
2.5,0.030000000000000027
2.5,0.040000000000000036
2.5,0.04500000000000004
2.5,0.04749999999999999
2.5,0.03749999999999998
2.5,0.03749999999999998
2.5,0.05249999999999999
2.5,0.04249999999999998
2.5,0.03749999999999998
2.5,0.050000000000000044
2.5,0.03500000000000003
2.5,0.03500000000000003
2.5,0.04500000000000004
2.5,0.03500000000000003
2.5,0.04249999999999998
2.5,0.040000000000000036
2.5,0.03749999999999998
2.5,0.04500000000000004
2.5,0.05500000000000005
2.5,0.03249999999999997
2.5,0.03500000000000003
2.5,0.040000000000000036
2.5,0.03749999999999998
2.5,0.04500000000000004
2.5,0.04500000000000004
2.5,0.02749999999999997
2.5,0.04249999999999998
2.5,0.03500000000000003
2.5,0.04749999999999999
2.5,0.050000000000000044
2.5,0.03249999999999997
2.5,0.030000000000000027
2.5,0.040000000000000036
2.5,0.04249999999999998
2.5,0.040000000000000036
2.5,0.050000000000000044
2.5,0.05249999999999999
2.5,0.03749999999999998
2.5,0.06000000000000005
2.5,0.04249999999999998
2.5,0.04500000000000004
2.5,0.03249999999999997
2.5,0.03500000000000003
2.5,0.04249999999999998
2.5,0.03500000000000003
2.5,0.03749999999999998
3,0.0024999999999999467
3,0.020000000000000018
3,0.022499999999999964
3,0.007499999999999951
3,0.007499999999999951
3,0.020000000000000018
3,0.02749999999999997
3,0.022499999999999964
3,0.012499999999999956
3,0.012499999999999956
3,0.025000000000000022
3,0.02749999999999997
3,0.022499999999999964
3,0.02749999999999997
3,0.020000000000000018
3,0.015000000000000013
3,0.02749999999999997
3,0.012499999999999956
3,0.020000000000000018
3,0.015000000000000013
3,0.015000000000000013
3,0.02749999999999997
3,0.03500000000000003
3,0.025000000000000022
3,0.022499999999999964
3,0.012499999999999956
3,0.025000000000000022
3,0.01749999999999996
3,0.015000000000000013
3,0.01749999999999996
3,0.030000000000000027
3,0.020000000000000018
3,0.020000000000000018
3,0.025000000000000022
3,0.012499999999999956
3,0.012499999999999956
3,0.012499999999999956
3,0.02749999999999997
3,0.015000000000000013
3,0.022499999999999964
3,0.030000000000000027
3,0.015000000000000013
3,0.012499999999999956
3,0.01749999999999996
3,0.020000000000000018
3,0.010000000000000009
3,0.01749999999999996
3,0.022499999999999964
3,0.015000000000000013
3,0.020000000000000018
3.5,0.0024999999999999467
3.5,0.010000000000000009
3.5,0.010000000000000009
3.5,0.0024999999999999467
3.5,0.0050000000000000044
3.5,0.012499999999999956
3.5,0.010000000000000009
3.5,0.012499999999999956
3.5,0.007499999999999951
3.5,0.007499999999999951
3.5,0.010000000000000009
3.5,0.010000000000000009
3.5,0.01749999999999996
3.5,0.010000000000000009
3.5,0.015000000000000013
3.5,0.010000000000000009
3.5,0.010000000000000009
3.5,0.007499999999999951
3.5,0.010000000000000009
3.5,0.010000000000000009
3.5,0.007499999999999951
3.5,0.012499999999999956
3.5,0.020000000000000018
3.5,0.012499999999999956
3.5,0.01749999999999996
3.5,0.007499999999999951
3.5,0.012499999999999956
3.5,0.007499999999999951
3.5,0.010000000000000009
3.5,0.015000000000000013
3.5,0.01749999999999996
3.5,0.010000000000000009
3.5,0.012499999999999956
3.5,0.010000000000000009
