K,n,error.osc,error.ssc.A,error.louvain,error.ssc.ase
4,1024,0.00390625,0.341796875,0.625,0.009765625
4,1024,0.0048828125,9.765625e-4,0.6171875,0.015625
4,1024,0.0048828125,9.765625e-4,0.65625,0.009765625
4,1024,0.0107421875,9.765625e-4,0.6484375,0.009765625
4,1024,0.00390625,0,0.6494140625,0.0107421875
4,1024,0.0029296875,9.765625e-4,0.62890625,0.0126953125
4,512,0.033203125,0.00390625,0.619140625,0.328125
4,512,0.046875,0.0078125,0.662109375,0.119140625
4,512,0.017578125,0.373046875,0.638671875,0.072265625
4,512,0.130859375,0.005859375,0.68359375,0.064453125
4,512,0.0234375,0,0.669921875,0.251953125
4,512,0.0546875,0.0078125,0.65234375,0.126953125
4,512,0.04296875,0.00390625,0.642578125,0.3046875
4,512,0.0234375,0.005859375,0.6328125,0.037109375
4,512,0.052734375,0.00390625,0.65625,0.076171875
4,512,0.021484375,0.00390625,0.677734375,0.0625
4,512,0.037109375,0.009765625,0.625,0.126953125
4,512,0.029296875,0.0078125,0.66015625,0.068359375
4,512,0.037109375,0.013671875,0.677734375,0.13671875
4,512,0.0390625,0.005859375,0.59765625,0.068359375
4,512,0.009765625,0.001953125,0.6484375,0.267578125
4,512,0.025390625,0.00390625,0.65234375,0.296875
4,512,0.056640625,0.001953125,0.65234375,0.072265625
4,512,0.03515625,0.00390625,0.63671875,0.099609375
4,512,0.03515625,0.0078125,0.701171875,0.166015625
4,512,0.0390625,0.015625,0.630859375,0.31640625
4,512,0.048828125,0.015625,0.658203125,0.31640625
4,512,0.06640625,0.001953125,0.65234375,0.048828125
4,512,0.029296875,0.00390625,0.646484375,0.232421875
4,512,0.03125,0.001953125,0.662109375,0.3046875
4,512,0.03515625,0.00390625,0.65625,0.30859375
4,512,0.0234375,0,0.64453125,0.3203125
4,512,0.02734375,0.001953125,0.62890625,0.068359375
4,512,0.033203125,0.01171875,0.6484375,0.05859375
4,512,0.0234375,0.005859375,0.724609375,0.0546875
4,512,0.029296875,0.0078125,0.666015625,0.109375
4,512,0.03515625,0.009765625,0.64453125,0.115234375
4,512,0.025390625,0.001953125,0.693359375,0.091796875
4,512,0.0078125,0.009765625,0.65234375,0.060546875
4,512,0.0390625,0.013671875,0.62890625,0.044921875
4,512,0.044921875,0.01171875,0.673828125,0.1640625
4,512,0.03125,0.001953125,0.66015625,0.24609375
4,512,0.064453125,0.013671875,0.634765625,0.0703125
4,512,0.03125,0.00390625,0.625,0.37890625
4,512,0.03515625,0.005859375,0.654296875,0.109375
4,512,0.0546875,0.0078125,0.63671875,0.091796875
4,512,0.0234375,0.00390625,0.626953125,0.080078125
4,512,0.025390625,0.00390625,0.638671875,0.26171875
4,512,0.01171875,0.0078125,0.65234375,0.11328125
4,512,0.01171875,0.00390625,0.65234375,0.2421875
4,512,0.01953125,0.0078125,0.634765625,0.060546875
4,512,0.05859375,0.009765625,0.640625,0.087890625
4,512,0.041015625,0.005859375,0.646484375,0.080078125
4,512,0.021484375,0.00390625,0.689453125,0.06640625
4,512,0.0234375,0.00390625,0.642578125,0.05859375
4,512,0.03125,0.005859375,0.650390625,0.2421875
4,256,0.26953125,0.015625,0.6953125,0.421875
4,256,0.12890625,0.0390625,0.68359375,0.453125
4,256,0.17578125,0.02734375,0.7421875,0.3671875
4,256,0.13671875,0.0390625,0.6953125,0.37109375
4,256,0.24609375,0.0234375,0.73828125,0.33203125
4,256,0.13671875,0.0078125,0.7421875,0.44921875
4,256,0.125,0.01171875,0.73046875,0.4140625
4,256,0.1640625,0.0625,0.76953125,0.49609375
4,256,0.0703125,0.0234375,0.7109375,0.5234375
4,256,0.12109375,0.015625,0.73046875,0.33203125
4,256,0.078125,0.0390625,0.80859375,0.40625
4,256,0.1171875,0.02734375,0.734375,0.44140625
4,256,0.140625,0.03125,0.7421875,0.35546875
4,256,0.0625,0.0234375,0.75,0.40625
4,256,0.2265625,0.015625,0.734375,0.47265625
4,256,0.28125,0.03125,0.75390625,0.50390625
4,256,0.125,0.05078125,0.73828125,0.49609375
4,256,0.1328125,0.01953125,0.7734375,0.5390625
4,256,0.09765625,0.0546875,0.74609375,0.5390625
4,256,0.10546875,0.03515625,0.73046875,0.3984375
4,256,0.25390625,0.03125,0.8203125,0.40234375
4,256,0.1484375,0.04296875,0.75390625,0.32421875
4,256,0.14453125,0.03125,0.7109375,0.24609375
4,256,0.09375,0.02734375,0.6484375,0.453125
4,256,0.20703125,0.03125,0.765625,0.43359375
4,256,0.13671875,0.015625,0.74609375,0.32421875
4,256,0.09375,0.01953125,0.73828125,0.3671875
4,256,0.2578125,0.01953125,0.7734375,0.46875
4,256,0.1640625,0.0078125,0.69921875,0.55078125
4,256,0.234375,0.04296875,0.73046875,0.46484375
4,256,0.1484375,0.0234375,0.7890625,0.5078125
4,256,0.0859375,0.01953125,0.703125,0.43359375
4,256,0.16796875,0.01171875,0.76171875,0.46875
4,256,0.12109375,0.015625,0.71875,0.52734375
4,256,0.07421875,0.04296875,0.6953125,0.37890625
4,256,0.0546875,0.03125,0.7578125,0.46875
4,256,0.11328125,0.01171875,0.63671875,0.33984375
4,256,0.0859375,0.01953125,0.73046875,0.3671875
4,256,0.13671875,0.03515625,0.6953125,0.57421875
4,256,0.27734375,0.015625,0.703125,0.5078125
4,256,0.1640625,0.0390625,0.70703125,0.44140625
4,256,0.109375,0.0078125,0.74609375,0.42578125
4,256,0.21875,0.0234375,0.75390625,0.35546875
4,256,0.19140625,0.1015625,0.734375,0.41015625
4,256,0.0625,0.0234375,0.734375,0.3984375
4,256,0.20703125,0.03125,0.72265625,0.52734375
4,256,0.0859375,0.02734375,0.73046875,0.50390625
4,256,0.18359375,0.04296875,0.76953125,0.53125
4,256,0.13671875,0.01171875,0.79296875,0.32421875
4,256,0.12109375,0.03125,0.78515625,0.40625
4,128,0.34375,0.1328125,0.703125,0.640625
4,128,0.5546875,0.15625,0.78125,0.515625
4,128,0.6171875,0.1171875,0.765625,0.484375
4,128,0.4453125,0.140625,0.6953125,0.4921875
4,128,0.5859375,0.0859375,0.6953125,0.578125
4,128,0.5859375,0.078125,0.6640625,0.5390625
4,128,0.4375,0.0859375,0.75,0.625
4,128,0.5546875,0.1171875,0.7265625,0.5703125
4,128,0.6328125,0.09375,0.7890625,0.5703125
4,128,0.65625,0.0859375,0.75,0.6484375
4,128,0.3671875,0.0859375,0.765625,0.546875
4,128,0.53125,0.0703125,0.7265625,0.609375
4,128,0.5,0.0390625,0.6875,0.5234375
4,128,0.546875,0.09375,0.7890625,0.5546875
4,128,0.375,0.0390625,0.78125,0.5625
4,128,0.5,0.15625,0.7109375,0.6328125
4,128,0.484375,0.0390625,0.7109375,0.5078125
4,128,0.3359375,0.0546875,0.7734375,0.5625
4,128,0.5546875,0.0703125,0.703125,0.5234375
4,128,0.625,0.15625,0.765625,0.625
4,128,0.328125,0.140625,0.7734375,0.609375
4,128,0.5390625,0.078125,0.71875,0.5859375
4,128,0.5625,0.09375,0.7109375,0.5390625
4,128,0.453125,0.0546875,0.75,0.59375
4,128,0.4921875,0.03125,0.75,0.5625
4,128,0.5546875,0.25,0.75,0.625
4,128,0.5546875,0.0546875,0.75,0.609375
4,128,0.5625,0.0625,0.75,0.625
4,128,0.40625,0.0703125,0.7421875,0.5625
4,128,0.5703125,0.046875,0.7265625,0.625
4,128,0.40625,0.1171875,0.7421875,0.546875
4,128,0.5546875,0.109375,0.7421875,0.6015625
4,128,0.3203125,0.125,0.734375,0.546875
4,128,0.2890625,0.0703125,0.7578125,0.640625
4,128,0.4296875,0.0546875,0.765625,0.625
4,128,0.5,0.109375,0.71875,0.515625
4,128,0.4765625,0.390625,0.7734375,0.5625
4,128,0.5703125,0.125,0.75,0.5390625
4,128,0.5234375,0.1015625,0.7109375,0.4453125
4,128,0.546875,0.15625,0.6484375,0.6015625
4,128,0.421875,0.1953125,0.734375,0.5625
4,128,0.484375,0.1328125,0.734375,0.640625
4,128,0.546875,0.15625,0.734375,0.5625
4,128,0.5390625,0.09375,0.7265625,0.6015625
4,128,0.65625,0.125,0.765625,0.5703125
4,128,0.4921875,0.0625,0.71875,0.5390625
4,128,0.6171875,0.0390625,0.78125,0.515625
4,128,0.5390625,0.0546875,0.765625,0.578125
4,128,0.28125,0.03125,0.7109375,0.5859375
4,128,0.546875,0.078125,0.7578125,0.5234375
3,4096,0,9.765625e-4,0.54150390625,2.44140625e-4
3,4096,0,0.0029296875,0.537109375,4.8828125e-4
3,4096,0,7.32421875e-4,0.5361328125,7.32421875e-4
3,4096,0,0.00146484375,0.531982421875,2.44140625e-4
3,4096,0,7.32421875e-4,0.539794921875,0
3,4096,2.44140625e-4,0.001708984375,0.542236328125,0
3,4096,0,0.001953125,0.541015625,0
3,4096,0,0.001220703125,0.53857421875,4.8828125e-4
3,4096,0,0.001708984375,0.540283203125,0
3,4096,2.44140625e-4,0.001708984375,0.545654296875,0
3,4096,0,0.31640625,0.541015625,0
3,4096,0,0.00390625,0.537353515625,0
3,4096,0,0.322021484375,0.536865234375,0
3,4096,0,0.32861328125,0.542724609375,7.32421875e-4
3,4096,0,0.0029296875,0.54345703125,2.44140625e-4
3,4096,0,0.001220703125,0.540283203125,0.001708984375
3,4096,0,0.001220703125,0.539794921875,7.32421875e-4
3,4096,2.44140625e-4,0.00146484375,0.538818359375,4.8828125e-4
3,4096,0,0.001708984375,0.535888671875,2.44140625e-4
3,4096,0,0.001708984375,0.546142578125,0
3,4096,4.8828125e-4,0.321533203125,0.54443359375,2.44140625e-4
3,4096,0,0.32177734375,0.538818359375,9.765625e-4
3,4096,0,9.765625e-4,0.536865234375,0
3,4096,0,0.2890625,0.54248046875,0
3,4096,0,4.8828125e-4,0.535400390625,0.001220703125
3,4096,0,0.328125,0.533447265625,4.8828125e-4
3,4096,0,0.337158203125,0.533447265625,0
3,4096,0,0.002685546875,0.539794921875,0.01220703125
3,4096,0,0.003662109375,0.54443359375,7.32421875e-4
3,4096,0,0.00146484375,0.531982421875,0
3,4096,0,0.001220703125,0.54052734375,0
3,4096,0,0.003173828125,0.54443359375,2.44140625e-4
3,4096,2.44140625e-4,0.002197265625,0.542236328125,0
3,4096,0,4.8828125e-4,0.544921875,0
3,4096,0,7.32421875e-4,0.533935546875,9.765625e-4
3,4096,0,0.00244140625,0.540283203125,7.32421875e-4
3,4096,0,0.00146484375,0.5380859375,0
3,4096,0,0.34033203125,0.54296875,2.44140625e-4
3,4096,0,9.765625e-4,0.538818359375,0.002197265625
3,4096,0,0.325927734375,0.543212890625,2.44140625e-4
3,4096,0,0.002197265625,0.541259765625,0
3,4096,0,0.49365234375,0.540283203125,4.8828125e-4
3,4096,0,0.002197265625,0.540771484375,0.001708984375
3,4096,0,0.001953125,0.53955078125,0
3,4096,0,0.002685546875,0.53662109375,2.44140625e-4
3,4096,0,0.00146484375,0.539794921875,0
3,4096,0,0.001220703125,0.54150390625,7.32421875e-4
3,4096,0,0.330078125,0.544921875,0
3,4096,4.8828125e-4,0.002197265625,0.540771484375,0
3,4096,0,0.33740234375,0.537841796875,0
3,2048,4.8828125e-4,0.00244140625,0.541015625,9.765625e-4
3,2048,0,0.00341796875,0.53857421875,0
3,2048,0,0.00390625,0.537109375,4.8828125e-4
3,2048,0,0.49462890625,0.54345703125,0.00439453125
3,2048,4.8828125e-4,0.0029296875,0.54541015625,0.01806640625
3,2048,4.8828125e-4,0.00146484375,0.5419921875,0
3,2048,4.8828125e-4,0.00146484375,0.5283203125,0.00146484375
3,2048,0,0.00244140625,0.54052734375,4.8828125e-4
3,2048,0,0.00439453125,0.5439453125,0.001953125
3,2048,0,0.00146484375,0.55126953125,4.8828125e-4
3,2048,4.8828125e-4,9.765625e-4,0.5380859375,4.8828125e-4
3,2048,4.8828125e-4,0.001953125,0.5302734375,0.00390625
3,2048,0,0.00341796875,0.54296875,0
3,2048,9.765625e-4,0.00341796875,0.5439453125,0.005859375
3,2048,0,0.00146484375,0.529296875,4.8828125e-4
3,2048,9.765625e-4,0.0029296875,0.5380859375,4.8828125e-4
3,2048,0,0.001953125,0.53857421875,4.8828125e-4
3,2048,4.8828125e-4,0.2939453125,0.53759765625,4.8828125e-4
3,2048,4.8828125e-4,0.00244140625,0.5419921875,4.8828125e-4
3,2048,4.8828125e-4,0.0029296875,0.53125,4.8828125e-4
3,2048,0,0.001953125,0.53857421875,9.765625e-4
3,2048,9.765625e-4,0.00341796875,0.54638671875,4.8828125e-4
3,2048,9.765625e-4,9.765625e-4,0.5458984375,0.0048828125
3,2048,4.8828125e-4,0.001953125,0.54833984375,0
3,2048,4.8828125e-4,0.001953125,0.54052734375,0.00341796875
3,2048,0,0.00390625,0.49560546875,4.8828125e-4
3,2048,4.8828125e-4,0.46044921875,0.54052734375,0.0029296875
3,2048,0,0.001953125,0.53662109375,9.765625e-4
3,2048,0,0.00341796875,0.5400390625,9.765625e-4
3,2048,9.765625e-4,0.00390625,0.54736328125,9.765625e-4
3,2048,4.8828125e-4,0.0029296875,0.53955078125,9.765625e-4
3,2048,0.00146484375,0.00341796875,0.533203125,0.00244140625
3,2048,0,0.001953125,0.54248046875,4.8828125e-4
3,2048,9.765625e-4,0.00341796875,0.5400390625,4.8828125e-4
3,2048,0,0.00146484375,0.546875,0.001953125
3,2048,9.765625e-4,0.00146484375,0.5458984375,4.8828125e-4
3,2048,0.00146484375,0.00341796875,0.52685546875,0
3,2048,4.8828125e-4,0.00244140625,0.54296875,0.00146484375
3,2048,4.8828125e-4,0.00244140625,0.54638671875,4.8828125e-4
3,2048,9.765625e-4,0.00146484375,0.54345703125,4.8828125e-4
3,2048,0,0.328125,0.53466796875,0
3,2048,0,0.47509765625,0.5478515625,4.8828125e-4
3,2048,9.765625e-4,4.8828125e-4,0.5380859375,9.765625e-4
3,2048,0,0.00439453125,0.541015625,0.00390625
3,2048,9.765625e-4,0.0029296875,0.54150390625,0.0048828125
3,2048,0,0.00244140625,0.5390625,9.765625e-4
3,2048,0,0.0048828125,0.54443359375,0.00146484375
3,2048,0,0.001953125,0.54248046875,0.0048828125
3,2048,9.765625e-4,0.001953125,0.546875,0.00341796875
3,2048,0,0.00341796875,0.54638671875,0
3,1024,0.0078125,0.0078125,0.54296875,0.0068359375
3,1024,0.0068359375,0.005859375,0.53515625,0.0087890625
3,1024,0.001953125,0.0029296875,0.548828125,0.001953125
3,1024,0.0068359375,0.0029296875,0.544921875,0.0029296875
3,1024,0.001953125,0.00390625,0.5498046875,0.005859375
3,1024,0.005859375,9.765625e-4,0.546875,0.0078125
3,1024,9.765625e-4,0.00390625,0.5498046875,0.0029296875
3,1024,0.001953125,0.0048828125,0.5166015625,0.001953125
3,1024,0.005859375,0.005859375,0.529296875,0.001953125
3,1024,0.0029296875,0.00390625,0.5458984375,9.765625e-4
3,1024,9.765625e-4,0.00390625,0.5478515625,0.0087890625
3,1024,0.0029296875,0.005859375,0.5322265625,0.001953125
3,1024,9.765625e-4,0.00390625,0.5537109375,0.001953125
3,1024,0.0087890625,0.005859375,0.5556640625,0.005859375
3,1024,0.005859375,0.470703125,0.55078125,0.0078125
3,1024,0.0048828125,0.00390625,0.53515625,0.0068359375
3,1024,0.0029296875,0.00390625,0.54296875,0.0107421875
3,1024,0.0029296875,0.0068359375,0.548828125,0.0029296875
3,1024,0.0048828125,0.0078125,0.552734375,0.017578125
3,1024,0.0048828125,0.005859375,0.5478515625,0.0029296875
3,1024,0.005859375,0.005859375,0.5654296875,0.001953125
3,1024,9.765625e-4,9.765625e-4,0.546875,9.765625e-4
3,1024,0,0.001953125,0.51953125,9.765625e-4
3,1024,0.005859375,0.00390625,0.5498046875,0.0048828125
3,1024,0.0087890625,0.0029296875,0.5419921875,0.005859375
3,1024,0.001953125,0.0068359375,0.5498046875,0.0048828125
3,1024,0.0029296875,0.00390625,0.5380859375,0.0029296875
3,1024,0.0107421875,0.0029296875,0.5634765625,0.0087890625
3,1024,0.001953125,0.0029296875,0.5517578125,0.0029296875
3,1024,0.001953125,0.0048828125,0.5537109375,0.0048828125
3,1024,0.00390625,0.0107421875,0.552734375,0.0078125
3,1024,0,9.765625e-4,0.5595703125,0.0029296875
3,1024,0.005859375,0.0078125,0.5322265625,0.009765625
3,1024,0.00390625,0.001953125,0.525390625,0.0068359375
3,1024,0.0048828125,0.00390625,0.556640625,9.765625e-4
3,1024,0.00390625,0.005859375,0.53515625,0.0068359375
3,1024,0.00390625,0.0048828125,0.5439453125,9.765625e-4
3,1024,0.00390625,9.765625e-4,0.537109375,0.0048828125
3,1024,0.0029296875,0.005859375,0.62109375,0.0205078125
3,1024,0.0048828125,0.0048828125,0.54296875,0.001953125
3,1024,0.005859375,0.001953125,0.556640625,0.0029296875
3,1024,0.0078125,0.001953125,0.541015625,0.001953125
3,1024,0.0029296875,9.765625e-4,0.5439453125,0.001953125
3,1024,0.0048828125,0.00390625,0.5380859375,0.00390625
3,1024,0.005859375,0.0068359375,0.5498046875,0.0068359375
3,1024,0.0029296875,0.005859375,0.537109375,0.00390625
3,1024,0.001953125,0.0029296875,0.533203125,0.0048828125
3,1024,0.00390625,0.005859375,0.5615234375,0.00390625
3,1024,0,0.001953125,0.541015625,0.0029296875
3,1024,0.00390625,0.00390625,0.55859375,0.005859375
3,512,0.015625,0.015625,0.642578125,0.0390625
3,512,0.009765625,0.00390625,0.6484375,0.021484375
3,512,0.041015625,0.009765625,0.63671875,0.0390625
3,512,0.033203125,0.01953125,0.6796875,0.0234375
3,512,0.021484375,0.00390625,0.63671875,0.029296875
3,512,0.017578125,0,0.58203125,0.0234375
3,512,0.0078125,0.00390625,0.6484375,0.037109375
3,512,0.013671875,0.00390625,0.650390625,0.01953125
3,512,0.03125,0.005859375,0.658203125,0.017578125
3,512,0.037109375,0.015625,0.662109375,0.064453125
3,512,0.0078125,0.01171875,0.62890625,0.017578125
3,512,0.009765625,0,0.5703125,0.021484375
3,512,0.017578125,0.0078125,0.603515625,0.017578125
3,512,0.044921875,0.0078125,0.58203125,0.021484375
3,512,0.01953125,0.0078125,0.650390625,0.013671875
3,512,0.037109375,0.015625,0.662109375,0.064453125
3,512,0.0078125,0.005859375,0.548828125,0.3046875
3,512,0.0078125,0.00390625,0.611328125,0.041015625
3,512,0.0234375,0.01171875,0.666015625,0.015625
3,512,0.02734375,0.00390625,0.642578125,0.015625
3,512,0.013671875,0.005859375,0.640625,0.025390625
3,512,0.021484375,0.009765625,0.67578125,0.021484375
3,512,0.033203125,0.001953125,0.654296875,0.03125
3,512,0.015625,0.0078125,0.626953125,0.0234375
3,512,0.01953125,0.0078125,0.59375,0.046875
3,512,0.01171875,0.00390625,0.646484375,0.037109375
3,512,0.03515625,0.0078125,0.630859375,0.052734375
3,512,0.1328125,0.005859375,0.546875,0.01171875
3,512,0.02734375,0.017578125,0.62890625,0.01953125
3,512,0.01953125,0.013671875,0.64453125,0.046875
3,512,0.00390625,0.01171875,0.630859375,0.00390625
3,512,0.01171875,0.00390625,0.646484375,0.037109375
3,512,0.009765625,0.00390625,0.576171875,0.009765625
3,512,0.01171875,0,0.572265625,0.0078125
3,512,0.015625,0.013671875,0.625,0.0234375
3,512,0.0078125,0.0078125,0.5625,0.044921875
3,512,0.037109375,0.00390625,0.556640625,0.017578125
