K,n,error.ssc2
4,128,0.5859375
4,128,0.5078125
4,128,0.546875
4,128,0.390625
4,128,0.40625
4,128,0.5234375
4,128,0.6796875
4,128,0.5
4,128,0.546875
4,128,0.3203125
4,128,0.625
4,128,0.578125
4,128,0.5390625
4,128,0.453125
4,128,0.609375
4,128,0.546875
4,128,0.6484375
4,128,0.3984375
4,128,0.421875
4,128,0.3828125
4,128,0.5234375
4,128,0.5703125
4,128,0.5625
4,128,0.421875
4,128,0.5078125
4,128,0.3359375
4,128,0.5703125
4,128,0.5234375
4,128,0.515625
4,128,0.515625
4,128,0.609375
4,128,0.4609375
4,128,0.390625
4,128,0.4921875
4,128,0.421875
4,128,0.53125
4,128,0.5234375
4,128,0.5546875
4,128,0.609375
4,128,0.359375
3,4096,0
3,4096,0.001708984375
3,4096,2.44140625e-4
3,4096,0.00146484375
3,4096,0.001220703125
3,4096,0.001953125
3,4096,7.32421875e-4
3,4096,7.32421875e-4
3,4096,4.8828125e-4
3,4096,7.32421875e-4
3,4096,0.001708984375
3,4096,2.44140625e-4
3,4096,9.765625e-4
3,4096,9.765625e-4
3,4096,7.32421875e-4
3,4096,2.44140625e-4
3,4096,0.001708984375
3,4096,0.001220703125
3,4096,7.32421875e-4
3,4096,0.001220703125
3,4096,7.32421875e-4
3,4096,0.00146484375
3,4096,2.44140625e-4
3,4096,2.44140625e-4
3,4096,0.00146484375
3,4096,4.8828125e-4
3,4096,0.001220703125
3,4096,9.765625e-4
3,4096,9.765625e-4
3,4096,9.765625e-4
3,4096,9.765625e-4
3,4096,0.00146484375
3,4096,0.27880859375
3,4096,0.001220703125
3,4096,9.765625e-4
3,4096,7.32421875e-4
3,4096,0.314697265625
3,4096,0.001220703125
3,4096,9.765625e-4
3,4096,0.00146484375
3,4096,7.32421875e-4
3,4096,0.00146484375
3,4096,0.32958984375
3,4096,0
3,4096,4.8828125e-4
3,4096,0.001708984375
3,4096,0.00146484375
3,4096,0.001220703125
3,4096,0.001220703125
3,4096,4.8828125e-4
3,2048,0.00634765625
3,2048,0.00390625
3,2048,0.005859375
3,2048,0.00537109375
3,2048,0.00390625
3,2048,0.0078125
3,2048,0.00341796875
3,2048,0.005859375
3,2048,0.00244140625
3,2048,0.005859375
3,2048,0.00732421875
3,2048,0.00390625
3,2048,0.00634765625
3,2048,0.00390625
3,2048,0.0029296875
3,2048,0.00537109375
3,2048,0.0048828125
3,2048,0.0048828125
3,2048,0.00537109375
3,2048,0.0048828125
3,2048,0.00390625
3,2048,0.00537109375
3,2048,0.0048828125
3,2048,0.00634765625
3,2048,0.00341796875
3,2048,0.00390625
3,2048,0.00390625
3,2048,0.00439453125
3,2048,0.00634765625
3,2048,0.00244140625
3,2048,0.0068359375
3,2048,0.00244140625
3,2048,0.00439453125
3,2048,0.00244140625
3,2048,0.01025390625
3,2048,0.0029296875
3,2048,0.00341796875
3,2048,0.00244140625
3,2048,0.00341796875
3,2048,0.00830078125
3,2048,0.00634765625
3,2048,0.0048828125
3,2048,0.005859375
3,2048,0.00634765625
3,2048,0.00146484375
3,2048,0.00390625
3,2048,0.00634765625
3,2048,0.00439453125
3,2048,0.00341796875
3,2048,0.009765625
3,1024,0.0244140625
3,1024,0.0126953125
3,1024,0.017578125
3,1024,0.015625
3,1024,0.0185546875
3,1024,0.017578125
3,1024,0.01953125
3,1024,0.009765625
3,1024,0.017578125
3,1024,0.0263671875
3,1024,0.0126953125
3,1024,0.0166015625
3,1024,0.015625
3,1024,0.013671875
3,1024,0.021484375
3,1024,0.017578125
3,1024,0.017578125
3,1024,0.0126953125
3,1024,0.0146484375
3,1024,0.017578125
3,1024,0.01953125
3,1024,0.01171875
3,1024,0.0185546875
3,1024,0.0078125
3,1024,0.0205078125
3,1024,0.0126953125
3,1024,0.013671875
3,1024,0.017578125
3,1024,0.01171875
3,1024,0.013671875
3,1024,0.013671875
3,1024,0.01953125
3,1024,0.021484375
3,1024,0.017578125
3,1024,0.01171875
3,1024,0.015625
3,1024,0.0244140625
3,1024,0.0146484375
3,1024,0.013671875
3,1024,0.01953125
3,1024,0.009765625
3,1024,0.013671875
3,1024,0.021484375
3,1024,0.015625
3,1024,0.0126953125
3,1024,0.0234375
3,1024,0.0107421875
3,1024,0.0107421875
3,1024,0.0146484375
3,1024,0.015625
3,512,0.0390625
3,512,0.044921875
3,512,0.03515625
3,512,0.037109375
3,512,0.033203125
3,512,0.060546875
3,512,0.03515625
3,512,0.025390625
3,512,0.0546875
3,512,0.052734375
3,512,0.03515625
3,512,0.0625
3,512,0.03515625
3,512,0.033203125
3,512,0.05078125
3,512,0.041015625
3,512,0.046875
3,512,0.07421875
3,512,0.048828125
3,512,0.05859375
3,512,0.04296875
3,512,0.03515625
3,512,0.048828125
3,512,0.029296875
3,512,0.048828125
3,512,0.04296875
3,512,0.037109375
3,512,0.0234375
3,512,0.046875
3,512,0.033203125
3,512,0.037109375
3,512,0.03125
3,512,0.03515625
3,512,0.033203125
3,512,0.046875
3,512,0.025390625
3,512,0.05078125
3,512,0.04296875
3,512,0.072265625
3,512,0.04296875
3,512,0.041015625
3,512,0.044921875
3,512,0.037109375
3,512,0.052734375
3,512,0.033203125
3,512,0.03125
3,512,0.048828125
3,512,0.04296875
3,512,0.03515625
3,512,0.025390625
3,256,0.09765625
3,256,0.19921875
3,256,0.12890625
3,256,0.08984375
3,256,0.06640625
3,256,0.25390625
3,256,0.50390625
3,256,0.15234375
3,256,0.12109375
3,256,0.10546875
3,256,0.1484375
3,256,0.19140625
3,256,0.04296875
3,256,0.07421875
3,256,0.14453125
3,256,0.109375
3,256,0.11328125
3,256,0.11328125
3,256,0.09375
3,256,0.078125
3,256,0.0703125
3,256,0.15234375
3,256,0.0703125
3,256,0.1171875
3,256,0.12109375
3,256,0.34765625
3,256,0.12890625
3,256,0.35546875
3,256,0.09375
3,256,0.09375
3,256,0.34765625
3,256,0.08203125
3,256,0.140625
3,256,0.27734375
3,256,0.09765625
3,256,0.08203125
3,256,0.08984375
3,256,0.171875
3,256,0.15234375
3,256,0.3828125
3,256,0.1015625
3,256,0.1875
3,256,0.08203125
3,256,0.1015625
3,256,0.44921875
3,256,0.09375
3,256,0.359375
3,256,0.08984375
3,256,0.08984375
3,256,0.13671875
3,128,0.3828125
3,128,0.453125
3,128,0.40625
3,128,0.3671875
3,128,0.453125
3,128,0.53125
3,128,0.203125
3,128,0.4296875
3,128,0.484375
3,128,0.515625
3,128,0.4453125
3,128,0.53125
3,128,0.2734375
3,128,0.265625
3,128,0.546875
3,128,0.546875
3,128,0.3359375
3,128,0.546875
3,128,0.4296875
3,128,0.5625
3,128,0.3125
3,128,0.5546875
3,128,0.296875
3,128,0.1484375
3,128,0.390625
3,128,0.46875
3,128,0.5859375
3,128,0.5234375
3,128,0.1875
3,128,0.4296875
3,128,0.25
3,128,0.5546875
3,128,0.4921875
3,128,0.3046875
3,128,0.4453125
3,128,0.140625
3,128,0.40625
3,128,0.2421875
3,128,0.2109375
3,128,0.4921875
3,128,0.3359375
3,128,0.1953125
3,128,0.25
3,128,0.3984375
3,128,0.3828125
3,128,0.2578125
3,128,0.265625
3,128,0.5546875
3,128,0.328125
3,128,0.4453125
2,4096,0.00146484375
2,4096,0.44482421875
2,4096,0.003173828125
2,4096,0.45654296875
