K,n,error.ssc2
4,128,0.25
4,128,0.359375
4,128,0.5
3,4096,0.006591796875
3,4096,0.00439453125
3,4096,0.005126953125
3,4096,0.1875
3,4096,0.005859375
3,4096,0.00390625
3,4096,0.004150390625
3,4096,0.1806640625
3,4096,0.184814453125
3,4096,0.18310546875
3,4096,0.176025390625
3,4096,0.17919921875
3,4096,0.177734375
3,4096,0.18505859375
3,4096,0.005615234375
3,4096,0.181396484375
3,4096,0.0048828125
3,4096,0.001953125
3,4096,0.0048828125
3,4096,0.185302734375
3,4096,0.0068359375
3,4096,0.169921875
3,4096,0.17724609375
3,4096,0.00390625
3,4096,0.007080078125
3,4096,0.18115234375
3,4096,0.180419921875
3,4096,0.005126953125
3,4096,0.00439453125
3,4096,0.00439453125
3,4096,0.186279296875
3,4096,0.181640625
3,4096,0.1826171875
3,4096,0.004638671875
3,4096,0.004150390625
3,4096,0.177001953125
3,4096,0.182861328125
3,4096,0.00537109375
3,4096,0.1748046875
3,4096,0.18310546875
3,4096,0.186279296875
3,4096,0.005859375
3,4096,0.00537109375
3,4096,0.005615234375
3,4096,0.00439453125
3,4096,0.17919921875
3,4096,0.17138671875
3,4096,0.004638671875
3,4096,0.1767578125
3,4096,0.005859375
3,2048,0.203125
3,2048,0.19677734375
3,2048,0.01416015625
3,2048,0.01318359375
3,2048,0.17919921875
3,2048,0.0146484375
3,2048,0.0205078125
3,2048,0.01220703125
3,2048,0.0078125
3,2048,0.18505859375
3,2048,0.05126953125
3,2048,0.009765625
3,2048,0.18896484375
3,2048,0.17919921875
3,2048,0.20947265625
3,2048,0.17333984375
3,2048,0.169921875
3,2048,0.00390625
3,2048,0.18505859375
3,2048,0.01904296875
3,2048,0.0595703125
3,2048,0.01220703125
3,2048,0.01123046875
3,2048,0.0166015625
3,2048,0.0087890625
3,2048,0.01171875
3,2048,0.00927734375
3,2048,0.0068359375
3,2048,0.005859375
3,2048,0.00927734375
3,2048,0.01806640625
3,2048,0.01025390625
3,2048,0.01220703125
3,2048,0.01025390625
3,2048,0.19091796875
3,2048,0.03857421875
3,2048,0.01171875
3,2048,0.19580078125
3,2048,0.0078125
3,2048,0.1982421875
3,2048,0.01904296875
3,2048,0.013671875
3,2048,0.01220703125
3,2048,0.01025390625
3,2048,0.00439453125
3,2048,0.01171875
3,2048,0.00537109375
3,2048,0.0087890625
3,2048,0.017578125
3,2048,0.03076171875
3,1024,0.013671875
3,1024,0.0390625
3,1024,0.0283203125
3,1024,0.015625
3,1024,0.015625
3,1024,0.0224609375
3,1024,0.2001953125
3,1024,0.0244140625
3,1024,0.025390625
3,1024,0.0244140625
3,1024,0.0166015625
3,1024,0.0419921875
3,1024,0.0205078125
3,1024,0.0146484375
3,1024,0.08203125
3,1024,0.017578125
3,1024,0.015625
3,1024,0.01953125
3,1024,0.189453125
3,1024,0.013671875
3,1024,0.0244140625
3,1024,0.01171875
3,1024,0.197265625
3,1024,0.0234375
3,1024,0.0234375
3,1024,0.03125
3,1024,0.0244140625
3,1024,0.220703125
3,1024,0.0703125
3,1024,0.01171875
3,1024,0.03125
3,1024,0.0205078125
3,1024,0.0146484375
3,1024,0.015625
3,1024,0.0185546875
3,1024,0.01953125
3,1024,0.193359375
3,1024,0.0244140625
3,1024,0.0146484375
3,1024,0.013671875
3,1024,0.0390625
3,1024,0.02734375
3,1024,0.02734375
3,1024,0.0107421875
3,1024,0.0244140625
3,1024,0.01953125
3,1024,0.0595703125
3,1024,0.0224609375
3,1024,0.0146484375
3,1024,0.0244140625
3,512,0.064453125
3,512,0.076171875
3,512,0.037109375
3,512,0.046875
3,512,0.0859375
3,512,0.03125
3,512,0.20703125
3,512,0.044921875
3,512,0.04296875
3,512,0.205078125
3,512,0.064453125
3,512,0.14453125
3,512,0.076171875
3,512,0.0546875
3,512,0.064453125
3,512,0.041015625
3,512,0.041015625
3,512,0.072265625
3,512,0.048828125
3,512,0.05078125
3,512,0.09765625
3,512,0.048828125
3,512,0.0625
3,512,0.0546875
3,512,0.068359375
3,512,0.0703125
3,512,0.0625
3,512,0.279296875
3,512,0.025390625
3,512,0.0546875
3,512,0.048828125
3,512,0.06640625
3,512,0.056640625
3,512,0.048828125
3,512,0.083984375
3,512,0.06640625
3,512,0.07421875
3,512,0.0546875
3,512,0.05078125
3,512,0.068359375
3,512,0.212890625
3,512,0.23046875
3,512,0.0390625
3,512,0.0390625
3,512,0.03515625
3,512,0.060546875
3,512,0.26953125
3,512,0.060546875
3,512,0.044921875
3,512,0.0625
3,256,0.1953125
3,256,0.31640625
3,256,0.08984375
3,256,0.2421875
3,256,0.16015625
3,256,0.23828125
3,256,0.20703125
3,256,0.09375
3,256,0.1328125
3,256,0.19140625
3,256,0.3203125
3,256,0.19921875
3,256,0.09765625
3,256,0.20703125
3,256,0.17578125
3,256,0.1484375
3,256,0.328125
3,256,0.17578125
3,256,0.2734375
3,256,0.21875
3,256,0.12890625
3,256,0.3046875
3,256,0.1328125
3,256,0.3046875
3,256,0.36328125
3,256,0.09375
3,256,0.16796875
3,256,0.1640625
3,256,0.296875
3,256,0.296875
3,256,0.29296875
3,256,0.2109375
3,256,0.21484375
3,256,0.2109375
3,256,0.2890625
3,256,0.2578125
3,256,0.28125
3,256,0.1640625
3,256,0.2265625
3,256,0.2734375
3,256,0.17578125
3,256,0.3046875
3,256,0.3203125
3,256,0.1328125
3,256,0.30859375
3,256,0.23046875
3,256,0.2890625
3,256,0.21875
3,256,0.12109375
3,256,0.26953125
3,128,0.484375
3,128,0.2890625
3,128,0.2265625
3,128,0.265625
3,128,0.3046875
3,128,0.3203125
3,128,0.359375
3,128,0.2578125
3,128,0.34375
3,128,0.421875
3,128,0.4375
3,128,0.265625
3,128,0.3359375
3,128,0.515625
3,128,0.265625
3,128,0.328125
3,128,0.328125
3,128,0.5078125
3,128,0.2890625
3,128,0.3046875
3,128,0.3203125
3,128,0.3828125
3,128,0.3046875
3,128,0.3203125
3,128,0.2578125
3,128,0.3671875
3,128,0.328125
3,128,0.34375
3,128,0.2890625
3,128,0.328125
3,128,0.3671875
3,128,0.4609375
3,128,0.28125
3,128,0.3203125
3,128,0.2890625
3,128,0.328125
3,128,0.4375
3,128,0.4140625
3,128,0.4296875
3,128,0.21875
3,128,0.3125
3,128,0.34375
3,128,0.3671875
3,128,0.2421875
3,128,0.4765625
3,128,0.4296875
3,128,0.234375
3,128,0.2265625
3,128,0.28125
3,128,0.3203125
2,4096,0.00244140625
2,4096,0.001708984375
2,4096,0.001708984375
2,4096,0.00244140625
2,4096,0.001708984375
2,4096,0.003662109375
2,4096,0.00439453125
2,4096,0.004150390625
2,4096,9.765625e-4
2,4096,0.00244140625
2,4096,0.0029296875
2,4096,0.00244140625
2,4096,0.00390625
2,4096,0.003173828125
2,4096,0.00244140625
2,4096,0.003173828125
2,4096,0.002685546875
2,4096,0.002685546875
2,4096,0.001953125
2,4096,0.002197265625
2,4096,0.002685546875
2,4096,0.0029296875
2,4096,0.002685546875
2,4096,0.002197265625
2,4096,0.003662109375
2,4096,0.004150390625
2,4096,0.003173828125
2,4096,0.003173828125
2,4096,0.003173828125
2,4096,0.002685546875
2,4096,0.002685546875
2,4096,0.00146484375
2,4096,0.001953125
2,4096,0.00244140625
2,4096,7.32421875e-4
2,4096,0.0029296875
2,4096,0.002685546875
2,4096,0.00390625
2,4096,0.00244140625
2,4096,0.001220703125
2,4096,0.005126953125
2,4096,0.00244140625
2,4096,0.0029296875
2,4096,0.00244140625
2,4096,0.001708984375
2,4096,0.00244140625
2,4096,0.002685546875
2,4096,0.0029296875
2,4096,0.00244140625
2,4096,0.00244140625
2,2048,0.00244140625
2,2048,0.00537109375
2,2048,0.0068359375
2,2048,0.00732421875
2,2048,0.00927734375
