n,error,error.ssc
256,0.0234375,0.4765625
256,0.01953125,0.01171875
256,0.0234375,0.0546875
256,0.015625,0.07421875
256,0.03515625,0.13671875
256,0.02734375,0.015625
256,0.02734375,0.08203125
256,0.21484375,0.109375
256,0.046875,0.0234375
256,0.13671875,0.28515625
256,0.05859375,0.06640625
256,0.01953125,0.0078125
256,0.12109375,0.01171875
256,0.0390625,0.0078125
256,0.0390625,0.01171875
256,0.0234375,0.0078125
256,0.046875,0.08984375
256,0.08984375,0.0625
256,0.0234375,0.0078125
256,0.1328125,0.03515625
256,0.0234375,0.0078125
256,0.24609375,0.03515625
256,0.109375,0.31640625
256,0.140625,0.0078125
256,0.2578125,0.015625
256,0.03125,0.0390625
256,0.19140625,0.09375
256,0.03125,0.0859375
256,0.0234375,0
256,0.03125,0.03125
256,0.0546875,0.0078125
256,0.1484375,0.03125
256,0.0234375,0.01953125
256,0.01171875,0.07421875
256,0.140625,0.02734375
256,0.01953125,0.046875
256,0.046875,0.05859375
256,0.0078125,0.03125
256,0.0390625,0.046875
256,0.01953125,0.11328125
256,0.05859375,0.00390625
256,0.17578125,0.1171875
256,0.15234375,0.47265625
256,0.01953125,0.03125
256,0.015625,0.00390625
256,0.109375,0.02734375
256,0.11328125,0.01171875
256,0.03515625,0.01953125
256,0.1484375,0.08203125
256,0.0078125,0.06640625
256,0.015625,0.05078125
256,0.10546875,0.01953125
256,0.0234375,0.0390625
256,0.0859375,0.015625
256,0.01171875,0.01171875
256,0.02734375,0.0546875
256,0.05078125,0.015625
256,0.18359375,0.16796875
256,0.125,0.0546875
256,0.03125,0.01953125
256,0.03515625,0.359375
256,0.02734375,0.0859375
256,0.171875,0
256,0.0078125,0.0703125
256,0.0234375,0.46875
256,0.0234375,0.03515625
256,0.06640625,0.046875
256,0.00390625,0.01171875
256,0.015625,0.03515625
256,0.0234375,0.00390625
256,0.08203125,0.0078125
256,0.0234375,0.05078125
256,0.02734375,0.03515625
256,0.046875,0.0859375
256,0.03515625,0.07421875
256,0.03515625,0.1640625
512,0.01953125,0.03125
512,0.005859375,0.005859375
512,0.00390625,0.001953125
512,0.00390625,0.0234375
512,0.01171875,0.021484375
512,0.015625,0.0078125
512,0.00390625,0.009765625
512,0.009765625,0.173828125
512,0.015625,0.033203125
512,0.021484375,0.017578125
512,0.01953125,0.1484375
512,0.001953125,0.021484375
512,0.009765625,0.01953125
512,0.013671875,0.02734375
512,0.005859375,0.07421875
512,0.013671875,0.07421875
512,0.029296875,0.04296875
512,0.005859375,0.0078125
512,0.0078125,0.033203125
512,0.00390625,0.001953125
512,0.00390625,0.029296875
512,0.001953125,0.033203125
512,0.0078125,0.001953125
512,0.009765625,0.0390625
512,0.015625,0.08984375
512,0.005859375,0.001953125
512,0.0078125,0.00390625
512,0.01171875,0.046875
512,0.005859375,0.03515625
512,0.005859375,0.005859375
512,0.005859375,0
512,0.021484375,0.080078125
512,0.0234375,0.00390625
512,0.00390625,0.00390625
512,0.0078125,0.005859375
512,0.00390625,0.015625
512,0.015625,0.078125
512,0.015625,0.017578125
512,0.013671875,0.041015625
512,0.00390625,0.109375
512,0.00390625,0.033203125
512,0.009765625,0.015625
512,0.01953125,0.01953125
512,0.001953125,0.02734375
512,0.009765625,0.0078125
512,0.0234375,0.009765625
512,0.005859375,0.060546875
512,0.017578125,0.087890625
512,0.00390625,0.060546875
512,0.0078125,0.072265625
512,0.01171875,0.052734375
512,0.015625,0.009765625
512,0.00390625,0.001953125
512,0.01171875,0.001953125
512,0.00390625,0.017578125
512,0.013671875,0.43359375
512,0.005859375,0.009765625
512,0.1484375,0.00390625
512,0.009765625,0.462890625
512,0.009765625,0.005859375
512,0.00390625,0.017578125
512,0.00390625,0.00390625
512,0.00390625,0.04296875
512,0.009765625,0.00390625
512,0.00390625,0.033203125
512,0.0078125,0.0078125
512,0.0078125,0.0625
512,0.01171875,0.01171875
512,0.005859375,0.06640625
512,0.013671875,0.00390625
512,0.005859375,0.005859375
512,0.005859375,0.001953125
512,0.01953125,0.03515625
512,0.0078125,0.025390625
512,0.001953125,0.080078125
512,0.0078125,0.017578125
512,0.00390625,0.001953125
512,0.01171875,0.01953125
512,0.0078125,0.044921875
512,0.005859375,0.00390625
512,0.0078125,0.486328125
512,0.0078125,0.005859375
512,0.044921875,0.001953125
512,0.009765625,0.01171875
512,0.00390625,0.068359375
512,0.0078125,0.0859375
512,0.00390625,0.013671875
512,0.01171875,0.015625
512,0.009765625,0.01171875
512,0.005859375,0
512,0.0078125,0.017578125
512,0.009765625,0.03125
512,0.01171875,0.478515625
512,0.009765625,0.001953125
512,0.01171875,0.298828125
512,0.009765625,0.05078125
512,0.013671875,0.044921875
512,0.01953125,0.00390625
512,0.0078125,0.017578125
512,0.009765625,0
1024,0.0029296875,0.0498046875
1024,0.005859375,9.765625e-4
1024,0.0087890625,0.009765625
1024,0.00390625,0.017578125
1024,9.765625e-4,0.109375
1024,0,0.052734375
1024,0.00390625,0.0029296875
1024,0.005859375,0.0166015625
1024,0.0048828125,0.00390625
1024,9.765625e-4,9.765625e-4
1024,0.0068359375,0.033203125
1024,9.765625e-4,0.0537109375
1024,0.3056640625,0.013671875
1024,0.0078125,0.0244140625
1024,0.0048828125,0.0341796875
1024,9.765625e-4,0.0224609375
1024,0.001953125,0.0322265625
1024,0.0029296875,0.017578125
1024,0.0029296875,0.0224609375
1024,0.00390625,0.013671875
1024,9.765625e-4,9.765625e-4
1024,9.765625e-4,0.0087890625
1024,0.005859375,0.01171875
1024,0.0029296875,0.0087890625
1024,0.001953125,0.00390625
1024,9.765625e-4,0.0537109375
1024,0.005859375,0.0498046875
1024,0.001953125,0.0986328125
1024,0.00390625,0.0126953125
1024,0.001953125,0.0126953125
1024,0,0.001953125
1024,0.00390625,0.0068359375
1024,0.001953125,0.01171875
1024,0.0078125,0.0146484375
1024,0.0029296875,0.0048828125
1024,0.00390625,0.0126953125
1024,0.0029296875,0.0224609375
1024,0.00390625,0.013671875
1024,0.001953125,0.001953125
1024,0.0068359375,0.0283203125
1024,0,0.1259765625
1024,0.0029296875,0.0126953125
1024,9.765625e-4,0.0029296875
1024,9.765625e-4,0.0048828125
1024,0.0029296875,0.0048828125
1024,0.005859375,0.005859375
1024,0.298828125,0.052734375
1024,0,0.0166015625
1024,0.001953125,0.0244140625
1024,9.765625e-4,0.041015625
1024,9.765625e-4,0.0244140625
1024,0.0048828125,0.0068359375
1024,9.765625e-4,0.0478515625
1024,9.765625e-4,0.0146484375
1024,0.0029296875,0.0126953125
1024,0.0048828125,0.044921875
1024,0.0029296875,0.0107421875
1024,0.005859375,0
1024,0,0.009765625
1024,0.001953125,0.013671875
1024,9.765625e-4,0.037109375
1024,9.765625e-4,0.00390625
1024,0.0087890625,0.0263671875
1024,0.001953125,0.005859375
1024,0.0029296875,0.0185546875
1024,0.0048828125,0.005859375
1024,0,0.0146484375
1024,0.0048828125,0.091796875
1024,0.001953125,0.0087890625
1024,0.0087890625,0.021484375
1024,0,0.01171875
1024,0.00390625,0
1024,0.001953125,0.0029296875
1024,9.765625e-4,0.0361328125
1024,9.765625e-4,0.0166015625
1024,0.0078125,0.0654296875
1024,0.005859375,0.0234375
1024,0.001953125,0.0107421875
1024,0,0.0419921875
1024,0,0.001953125
1024,0.001953125,0.046875
1024,0.001953125,0.0576171875
1024,0.0029296875,0.0107421875
1024,0,0.01171875
1024,0.0068359375,0.0400390625
1024,0.0048828125,0.0185546875
1024,9.765625e-4,0.009765625
1024,9.765625e-4,0.0263671875
1024,0.001953125,0.05859375
1024,0.0107421875,0
1024,0.00390625,0.0546875
1024,0.0029296875,0.00390625
1024,0.0048828125,0.0361328125
1024,0.001953125,0.001953125
1024,9.765625e-4,0.0654296875
1024,0,0.02734375
1024,0.0029296875,0.0185546875
1024,0.001953125,0.005859375
1024,0.001953125,9.765625e-4
1024,0,9.765625e-4
2048,0,0
2048,9.765625e-4,0.005859375
2048,0,0.00390625
2048,9.765625e-4,0.0048828125
2048,0,0.00537109375
2048,0,0.0498046875
2048,9.765625e-4,0.0400390625
2048,0.00244140625,0.00732421875
2048,4.8828125e-4,0.02197265625
2048,0.00146484375,0.01025390625
2048,4.8828125e-4,0.00341796875
2048,9.765625e-4,0.0380859375
2048,0.001953125,0.033203125
2048,0.00146484375,0.0048828125
2048,0,0.001953125
2048,9.765625e-4,0.02294921875
2048,4.8828125e-4,9.765625e-4
2048,4.8828125e-4,0.00146484375
2048,0.291015625,0.0234375
2048,4.8828125e-4,0.0126953125
2048,4.8828125e-4,0.00634765625
2048,0,0.03564453125
2048,4.8828125e-4,0.00634765625
2048,9.765625e-4,4.8828125e-4
2048,0,0.01611328125
2048,0.00146484375,0.00244140625
2048,0,0.02685546875
2048,0.00244140625,9.765625e-4
2048,0.00146484375,0.03759765625
2048,4.8828125e-4,0.001953125
2048,9.765625e-4,4.8828125e-4
2048,0,0.02783203125
2048,0.00146484375,0.029296875
2048,4.8828125e-4,0.00439453125
2048,9.765625e-4,0
2048,0,0.34130859375
2048,4.8828125e-4,0.00341796875
2048,0,0.01611328125
2048,0,0
2048,9.765625e-4,0.0263671875
2048,4.8828125e-4,0.0166015625
2048,4.8828125e-4,0.0107421875
