K,n,error.mm
2,128,0.092282383123514
2,128,0.09227666141585822
2,128,0.03133201366805427
2,128,0.06201171875
2,128,0.031292569469858256
2,128,0.06201171875
2,128,0.23622688010788317
2,128,0.062008478478511764
2,128,0.09235942701278099
2,128,0.06201148219496844
2,128,0.09230744630359555
2,128,0.03125069630596966
2,128,0.0922734656145715
2,128,0.20841419339620015
2,128,0.06201171875
